,date_time,total_demand,combined_cycle_gas_turbine_generation,oil_generation,coal_generation,nuclear_generation,wind_generation,pumped_storage_generation,nonpumped_storage_hydro_generation,open_cycle_gas_turbine_generation,other_generation,biomass_generation,embedded_solar_generation,embedded_wind_generation,BritNet_flow,total_ma7,detrended_total_ma7
422,2010-01-01,1832899,837347,0,464581,383963,14039,16752,9282,902,0,0,0.0,32584.0,0.0,1882271.0,37601.32618457428
423,2010-01-02,1931429,913921,0,548505,382038,20275,17596,9652,0,0,0,0.0,42037.0,0.0,1914956.0,20578.89761314611
424,2010-01-03,1952699,929544,0,556272,380349,8342,19198,8245,0,0,0,0.0,25230.0,0.0,1940010.857142857,21906.611898859963
425,2010-01-04,2284081,964437,0,948407,382811,11945,22322,9406,480,0,0,0.0,22902.0,0.0,1997380.2857142857,55201.89761314611
426,2010-01-05,2337864,936612,8373,1011104,378488,24986,22766,8050,0,0,0,0.0,34534.0,0.0,2044108.4285714286,59426.89761314588
427,2010-01-06,2311150,915101,0,1014538,378560,18917,23262,8568,0,0,0,0.0,43410.0,0.0,2086334.7142857143,53624.18332743179
428,2010-01-07,2352524,941544,0,1065160,390749,4566,22368,9260,230,0,0,0.0,16154.0,0.0,2143235.1428571427,62496.89761314588
429,2010-01-08,2353293,930852,3901,1073341,365527,5325,27004,8803,218,0,0,0.0,25381.0,0.0,2217577.1428571427,75761.6118988602
430,2010-01-09,2164581,899525,1510,906085,356828,5462,21774,8639,0,0,0,0.0,45337.0,0.0,2250884.5714285714,68114.75475600269
431,2010-01-10,2120247,766275,1481,954881,357423,34806,22760,9495,334,0,0,0.0,63321.0,0.0,2274820.0,72441.46904171747
432,2010-01-11,2354848,917651,5110,1039060,360197,37287,26798,10144,531,0,0,0.0,41356.0,0.0,2284929.5714285714,83171.0404702886
433,2010-01-12,2371576,974296,0,994931,362049,50921,14598,9989,250,0,0,0.0,61506.0,0.0,2289745.5714285714,99608.46904171747
434,2010-01-13,2356736,1056393,0,896905,382892,32768,19142,10025,421,0,0,0.0,47085.0,0.0,2296257.8571428573,130457.32618457451
435,2010-01-14,2315593,1037780,0,916001,392113,15109,24190,9866,0,0,0,0.0,11549.0,0.0,2290982.0,141730.04047028883
436,2010-01-15,2253952,988944,0,833427,393138,50013,15694,10344,0,0,0,0.0,54536.0,0.0,2276790.4285714286,137030.32618457451
437,2010-01-16,2029424,909030,0,615564,382748,38857,22660,14964,0,0,0,0.0,59754.0,0.0,2257482.285714286,136960.32618457475
438,2010-01-17,1922667,868695,0,513357,400229,27401,16804,14193,336,0,0,0.0,50212.0,0.0,2229256.5714285714,135938.89761314588
439,2010-01-18,2159296,980111,0,762931,402413,13772,19502,18421,371,0,0,0.0,24264.0,0.0,2201320.5714285714,122242.89761314611
440,2010-01-19,2171454,1022591,0,696608,405473,27128,18080,16891,219,0,0,0.0,32875.0,0.0,2172731.714285714,93592.32618457405
441,2010-01-20,2227973,1027697,0,724612,411906,33093,21116,15723,0,0,0,0.0,42174.0,0.0,2154337.0,68705.6118988602
442,2010-01-21,2211774,1015670,0,733438,407410,40406,16936,15803,0,0,0,0.0,36626.0,0.0,2139505.714285714,54014.0404702886
443,2010-01-22,2162972,959009,0,772337,391908,16494,20304,15417,0,0,0,0.0,37800.0,0.0,2126508.5714285714,44187.32618457475
444,2010-01-23,1947389,941205,0,582459,383070,4748,20066,14894,0,0,0,0.0,14095.0,0.0,2114789.285714286,29263.46904171724
445,2010-01-24,1903548,906975,0,559459,382812,8214,16154,13134,226,0,0,0.0,12346.0,0.0,2112058.0,16765.754756003385
446,2010-01-25,2195186,1006388,0,799990,380824,6227,29900,13119,564,0,0,0.0,11284.0,0.0,2117185.1428571427,16939.32618457405
447,2010-01-26,2245902,1036647,0,851741,387066,16205,16828,11507,269,0,0,0.0,10519.0,0.0,2127820.5714285714,34065.04047028883
448,2010-01-27,2254228,962426,3017,856576,389952,44521,14922,16798,503,0,0,0.0,55363.0,0.0,2131571.285714286,41275.89761314588
449,2010-01-28,2208760,873131,0,908613,399123,25918,17266,18558,0,0,0,0.0,59082.0,0.0,2131140.714285714,46678.611898860196
450,2010-01-29,2172292,842777,0,893829,397671,32351,16634,17773,0,0,0,0.0,67136.0,0.0,2132472.1428571427,47609.75475600292
451,2010-01-30,2009385,820897,0,800066,378180,17734,22552,14000,0,0,0,0.0,47618.0,0.0,2141328.714285714,53918.75475600292
452,2010-01-31,2001940,831311,0,779911,378306,19365,24536,12947,0,0,0,0.0,42398.0,0.0,2155384.714285714,70132.32618457428
453,2010-02-01,2240311,918734,0,939596,373069,19083,19656,13523,132,0,0,0.0,49726.0,0.0,2161831.1428571427,65585.18332743156
454,2010-02-02,2231382,954510,0,927608,349631,12523,19746,11710,21,0,0,0.0,54483.0,0.0,2159756.8571428573,44563.32618457475
455,2010-02-03,2232514,981014,0,924944,350455,11062,23190,12345,483,0,0,0.0,19261.0,0.0,2156654.8571428573,28766.326184574747
456,2010-02-04,2195014,954213,0,882043,351681,19427,16952,12384,351,0,0,0.0,41851.0,0.0,2154691.1428571427,13046.89761314611
457,2010-02-05,2097048,924830,0,798681,364112,17535,16014,11077,0,0,0,0.0,32370.0,0.0,2143942.0,-11592.673815425253
458,2010-02-06,1906920,830840,0,639687,373299,8936,13934,11443,0,0,0,0.0,8463.0,0.0,2129304.1428571427,-38099.81667256844
459,2010-02-07,1888870,814159,0,627282,375056,6769,21078,10679,0,0,0,0.0,11076.0,0.0,2113151.285714286,-67245.67381542525
460,2010-02-08,2205492,956186,0,863895,371225,10458,22224,14098,138,0,0,0.0,41826.0,0.0,2108177.1428571427,-73925.10238685389
461,2010-02-09,2231035,973201,11118,885828,373463,9708,19394,10064,292,0,0,0.0,47972.0,0.0,2108127.5714285714,-71454.10238685389
462,2010-02-10,2247768,998124,0,893135,383242,4703,18060,9564,17,0,0,0.0,41798.0,0.0,2110306.714285714,-65596.3881011398
463,2010-02-11,2262915,1008512,0,902008,387320,4351,19404,9842,971,0,0,0.0,36079.0,0.0,2120006.8571428573,-52361.10238685389
464,2010-02-12,2210034,993867,0,904007,365691,3460,19840,8501,0,0,0,0.0,24303.0,0.0,2136147.714285714,-33821.388101139804
465,2010-02-13,1994545,938696,0,756103,359014,1848,18492,5912,0,0,0,0.0,22780.0,0.0,2148665.5714285714,-8657.388101139804
466,2010-02-14,1918974,921401,0,712701,356424,3017,14342,6153,0,0,0,0.0,7603.0,0.0,2152966.1428571427,7282.8976131461095
467,2010-02-15,2161006,995467,0,842579,357200,10199,22156,7419,0,0,0,0.0,19028.0,0.0,2146611.0,18543.89761314611
468,2010-02-16,2175522,997853,0,862510,357018,7258,19888,7251,0,0,0,0.0,26632.0,0.0,2138680.5714285714,36504.46904171747
469,2010-02-17,2167713,968242,0,911989,356915,3644,17620,8263,0,0,0,0.0,7321.0,0.0,2127244.1428571427,51933.46904171747
470,2010-02-18,2198340,1000247,0,893452,352200,535,23508,7861,0,0,0,0.0,10148.0,0.0,2118019.1428571427,70947.6118988602
471,2010-02-19,2150248,980552,0,819649,368039,864,16970,8306,103,0,0,0.0,26048.0,0.0,2109478.285714286,94561.04047028907
472,2010-02-20,1951261,895390,0,655370,377800,1077,20028,7557,0,0,0,0.0,11015.0,0.0,2103294.8571428573,110676.75475600339
473,2010-02-21,1917903,909708,0,580779,382780,2599,15128,6932,0,0,0,0.0,15091.0,0.0,2103141.8571428573,134287.32618457475
474,2010-02-22,2189870,980789,0,823371,383266,2628,16374,8527,828,0,0,0.0,27731.0,0.0,2107265.285714286,154326.89761314634
475,2010-02-23,2226589,979262,0,803361,383552,9305,17452,7996,5,0,0,0.0,42769.0,0.0,2114560.5714285714,169838.6118988602
476,2010-02-24,2171030,1004366,0,695425,380556,35584,22766,7072,227,0,0,0.0,32141.0,0.0,2115034.4285714286,175628.61189886043
477,2010-02-25,2130084,978637,38,678116,383841,25245,24834,6858,1651,0,0,0.0,18921.0,0.0,2105283.5714285714,167828.89761314564
478,2010-02-26,2103510,984873,0,604974,376617,35611,18202,6753,0,0,0,0.0,59550.0,0.0,2098606.714285714,162772.32618457451
479,2010-02-27,1893304,974627,0,386927,373298,24652,20314,6942,0,0,0,0.0,29742.0,0.0,2090327.142857143,163132.46904171724
480,2010-02-28,1878177,962562,0,385611,364577,17481,14396,6344,0,0,0,0.0,45856.0,0.0,2084652.0,158980.8976131461
481,2010-03-01,2084849,1025105,0,636762,366304,4212,21874,6771,592,0,0,0.0,13964.0,0.0,2069649.0,145713.0404702886
482,2010-03-02,2100734,1070443,0,666485,371814,3233,17912,5627,30,0,0,0.0,8108.0,0.0,2051669.7142857143,128742.46904171747
483,2010-03-03,2124882,1066920,0,669367,382893,3226,16874,5362,41,0,0,0.0,29017.0,0.0,2045077.142857143,117001.04047028883
484,2010-03-04,2114818,1080569,0,673932,388365,4093,15148,5387,0,0,0,0.0,18152.0,0.0,2042896.2857142857,109068.18332743179
485,2010-03-05,2083632,1062470,0,643378,403140,23560,13588,5855,204,0,0,0.0,38776.0,0.0,2040056.5714285714,97433.89761314564
486,2010-03-06,1867512,1023574,0,462146,414621,5948,16904,5604,0,0,0,0.0,25222.0,0.0,2036372.0,81141.46904171747
487,2010-03-07,1839052,1036778,0,425726,421016,2933,24308,6935,1825,0,0,0.0,14795.0,0.0,2030782.7142857143,72813.75475600292
488,2010-03-08,2117228,1095217,30,674198,413447,415,17240,5370,1725,0,0,0.0,15800.0,0.0,2035408.2857142857,73451.04047028883
489,2010-03-09,2115683,1063964,4342,700813,410212,581,14408,3531,512,0,0,0.0,14660.0,0.0,2037543.857142857,71218.18332743132
490,2010-03-10,2102021,1051693,5974,711743,408877,2059,17250,2752,750,0,0,0.0,16530.0,0.0,2034278.0,70563.61189886043
491,2010-03-11,2105379,971742,0,767632,411040,18535,14450,3370,41,0,0,0.0,23404.0,0.0,2032929.5714285714,75086.75475600292
492,2010-03-12,2064206,964267,0,720941,409671,13193,17978,5806,214,0,0,0.0,36687.0,0.0,2030154.4285714286,85596.32618457475
493,2010-03-13,1832579,921296,0,510699,414917,30314,17930,4835,36,0,0,0.0,39033.0,0.0,2025164.0,93694.32618457428
494,2010-03-14,1749093,897928,0,419550,419185,27732,15508,9089,0,0,0,0.0,54818.0,0.0,2012312.7142857143,89348.89761314611
495,2010-03-15,1982806,962044,0,580767,429480,32286,20042,18846,170,0,0,0.0,48426.0,0.0,1993109.5714285714,84443.61189885996
496,2010-03-16,1993804,987956,0,599124,431916,11871,19715,20314,0,0,0,0.0,19944.0,0.0,1975698.2857142857,87244.89761314611
497,2010-03-17,1978031,959403,0,605588,383698,33281,16382,16983,0,0,0,0.0,51335.0,0.0,1957985.4285714286,86632.18332743156
498,2010-03-18,1948460,975927,0,490927,369254,48583,20910,17682,0,0,0,0.0,69662.0,0.0,1935568.4285714286,82457.75475600315
499,2010-03-19,1909538,1002523,0,449746,345516,41054,23372,23147,244,0,0,0.0,51049.0,0.0,1913473.0,72129.18332743156
500,2010-03-20,1737554,963961,0,266319,337272,9606,20830,19942,0,0,0,0.0,40351.0,0.0,1899898.0,69428.18332743179
501,2010-03-21,1679294,945470,0,219022,375843,7289,13710,15789,0,0,0,0.0,27219.0,0.0,1889926.7142857143,66963.0404702886
502,2010-03-22,1926382,1017563,0,422327,389384,29758,15412,15230,0,0,0,0.0,59396.0,0.0,1881866.142857143,64288.04047028907
503,2010-03-23,1984800,1030297,0,504781,384320,21177,27124,14824,739,0,0,0.0,38260.0,0.0,1880579.857142857,59169.75475600292
504,2010-03-24,1967397,996072,0,512514,371995,17741,13894,14484,0,0,0,0.0,41305.0,0.0,1879060.7142857143,51603.04047028883
505,2010-03-25,1956497,999884,0,488271,367487,9024,22502,16948,0,0,0,0.0,39294.0,0.0,1880208.857142857,45120.61189885996
506,2010-03-26,1886215,991807,0,429866,349592,25869,14038,17491,0,0,0,0.0,51835.0,0.0,1876877.0,34903.04047028883
507,2010-03-27,1690519,907231,0,258798,342913,42742,12676,16448,0,0,0,0.0,38395.0,0.0,1870157.7142857143,19876.61189886043
508,2010-03-28,1638775,894687,0,230295,342905,33200,14472,14642,0,0,0,0.0,39448.0,0.0,1864369.2857142857,-154.38810113980435
