,Date,edf_close,edf_pct0,edf_vol,tte_close,tte_pct0,tte_vol,detrended_edf_close,detrended_tte_close
0,2009-01-02,41.95,0.03051251489868867,748.45,57.560001,-0.0171994611327404,2133.9,9.77,1.39
1,2009-01-05,43.23,-0.009021512838306545,1280.0,56.57,-0.005126409757822192,3016.0,11.06,0.4
2,2009-01-06,42.84,0.0025676937441643233,971.01,56.279999,-0.0254086891508295,2879.1,10.68,0.12
3,2009-01-07,42.95,0.015599534342258359,990.35,54.849998,0.02041938087217443,2684.8,10.8,-1.31
4,2009-01-08,43.62,0.003209536909674515,1260.0,55.970001,-0.04162947933483152,3531.9,11.48,-0.19
5,2009-01-09,43.76,-0.021937842778793404,1300.0,53.639999,-0.016964933202180066,2864.4,11.63,-2.52
6,2009-01-12,42.8,-0.05093457943925228,652.66,52.73,-0.014792319362791462,1910.3,10.68,-3.42
7,2009-01-13,40.62,-0.04677498769079269,2029.9999999999998,51.950001,-0.04427331964825176,3424.1,8.5,-4.2
8,2009-01-14,38.72,-0.01342975206611563,1490.0,49.650002,-0.010271963332448508,2295.5,6.61,-6.5
9,2009-01-15,38.2,-0.01832460732984298,1500.0,49.139999,0.01098903156265818,2717.7,6.1,-7.01
10,2009-01-16,37.5,0.020533333333333514,1660.0,49.68,-0.053341404991948504,2568.0,5.41,-6.46
11,2009-01-20,38.42,-0.026288391462779948,1140.0,47.029999,0.032107208847697466,3075.3,6.34,-9.11
12,2009-01-21,37.41,-0.000801924619085681,2120.0,48.540001,-0.03687682247884583,3224.7,5.34,-7.6
13,2009-01-22,37.38,0.023809523809523725,1710.0,46.75,0.014331508021390382,4756.8,5.31,-9.39
14,2009-01-23,38.27,0.02430101907499349,1590.0,47.419998,0.06495154217425325,4269.4,6.21,-8.71
15,2009-01-26,39.2,0.008418367346938682,1370.0,50.5,0.010495029702970227,4910.6,7.15,-5.63
16,2009-01-27,39.53,0.0005059448520110532,1040.0,51.029999,0.034685479809631214,2892.0,7.49,-5.1
17,2009-01-28,39.55,-0.014917825537294482,868.99,52.799999,-0.03503784157268641,2904.2,7.52,-3.33
18,2009-01-29,38.96,-0.017967145790554473,836.55,50.950001,-0.022963728695510777,2953.3,6.94,-5.17
19,2009-01-30,38.26,-0.021432305279665442,945.45,49.779999,0.010044194657376382,2522.5,6.24,-6.34
20,2009-02-02,37.44,0.02163461538461542,1180.0,50.279999,0.03281624965823893,2508.0,5.43,-5.84
21,2009-02-03,38.25,0.0023529411764706687,902.61,51.93,0.006547275178124368,2715.0,6.25,-4.19
22,2009-02-04,38.34,-0.0018257694314032236,1040.0,52.27,0.007461258848287633,3265.3,6.35,-3.84
23,2009-02-05,38.27,-0.003135615364515454,1300.0,52.66,0.03703002278769474,3462.9,6.29,-3.45
24,2009-02-06,38.15,-0.01730013106159889,912.65,54.610001,-0.008789598813594535,2912.9,6.18,-1.5
25,2009-02-09,37.49,-0.01920512136569752,1090.0,54.130001,-0.044707222525268264,2416.4,5.53,-1.98
26,2009-02-10,36.77,-0.03317922219200453,1420.0,51.709999,-0.0054147941484199436,3127.6,4.81,-4.39
27,2009-02-11,35.55,-0.07482419127988738,1660.0,51.43,0.02061057748395867,2805.9,3.6,-4.67
28,2009-02-12,32.89,-0.013681970203709426,5970.0,52.490002,0.007429967329778409,3374.9,0.95,-3.61
29,2009-02-13,32.44,-0.03637484586929707,2270.0,52.880001,-0.07583210900468784,2484.5,0.51,-3.22
30,2009-02-17,31.17,0.009945460378569138,2140.0,48.869999,0.009617372818035097,3476.4,-0.75,-7.22
31,2009-02-18,31.48,0.031766200762388674,1950.0,49.34,0.008107053100932182,5044.7,-0.43,-6.75
32,2009-02-19,32.48,-0.029556650246305383,2350.0,49.740002,-0.02573387512127545,2706.2,0.57,-6.35
33,2009-02-20,31.52,0.011738578680203116,1760.0,48.459999,-0.029921606065241524,3739.7,-0.38,-7.63
34,2009-02-23,31.89,-0.002822201317027262,1880.0,47.009998,0.0502021080707129,3818.6,0.0,-9.07
35,2009-02-24,31.8,-0.03301886792452835,2100.0,49.369999,-0.009519890814662535,3798.5,-0.08,-6.71
36,2009-02-25,30.75,-0.007804878048780384,1970.0,48.900002,-0.02024543884476737,5140.8,-1.12,-7.18
37,2009-02-26,30.51,0.013110455588331682,1920.0,47.91,-0.014819432268837307,4680.7,-1.35,-8.17
38,2009-02-27,30.91,-0.09446780977030089,2570.0,47.200001,-0.07372881199727088,3990.3,-0.95,-8.87
39,2009-03-02,27.99,0.009289031797070413,3240.0,43.720001,-0.007090599105887607,4412.6,-3.86,-12.35
40,2009-03-03,28.25,0.016991150442477787,2550.0,43.41,0.08707668739921681,3934.0,-3.59,-12.66
41,2009-03-04,28.73,-0.014966933518969716,1810.0,47.189999,-0.06378468030906292,5420.2,-3.1,-8.88
42,2009-03-05,28.3,-0.013780918727915203,1410.0,44.18,0.03508374830239913,4259.1,-3.52,-11.88
43,2009-03-06,27.91,-0.01719813686850591,1560.0,45.73,-0.019243428821342556,4465.5,-3.9,-10.33
44,2009-03-09,27.43,0.04994531534815905,2260.0,44.849998,0.062653336127239,3627.7,-4.37,-11.21
45,2009-03-10,28.8,-0.022916666666666696,2060.0,47.66,0.006084788082249437,5505.9,-3.0,-8.4
46,2009-03-11,28.14,-0.01528073916133621,1600.0,47.950001,0.02898850825884236,3194.3,-3.65,-8.1
47,2009-03-12,27.71,-0.014435221941537457,1710.0,49.34,-0.0022294284556142463,2575.8,-4.07,-6.71
48,2009-03-13,27.31,0.04613694617356279,1880.0,49.23,-0.004875035547430406,2754.0,-4.46,-6.82
49,2009-03-16,28.57,-0.00980049002450123,1610.0,48.990002,0.017554520614226687,2429.6,-3.19,-7.06
50,2009-03-17,28.29,-0.0007069635913750094,1570.0,49.849998,0.01644934870408621,2285.0,-3.46,-6.19
51,2009-03-18,28.27,0.004244782454899232,1030.0,50.669998,0.018946181920117766,3558.2,-3.48,-5.37
52,2009-03-19,28.39,0.017259598450158453,2080.0,51.630001,-0.02614762684199834,4707.9,-3.35,-4.41
53,2009-03-20,28.88,0.06890581717451538,2650.0,50.279999,0.04634053393676485,2517.7,-2.85,-5.76
54,2009-03-23,30.87,0.0025915127955944417,2750.0,52.610001,-0.02604065717466908,3910.5,-0.85,-3.42
55,2009-03-24,30.95,0.004523424878836835,1780.0,51.240002,0.02439500295101471,3224.1,-0.76,-4.79
56,2009-03-25,31.09,-0.01801222257960755,1280.0,52.490002,0.00628687345068113,2776.2,-0.61,-3.54
57,2009-03-26,30.53,-0.027186374058303375,1230.0,52.82,-0.03824310867095804,2624.6,-1.17,-3.21
58,2009-03-27,29.7,-0.036363636363636265,999.37,50.799999,-0.04724403636307162,2444.5,-1.99,-5.22
59,2009-03-30,28.62,0.03214535290006992,1160.0,48.400002,0.013636342411721403,2678.4,-3.06,-7.62
60,2009-03-31,29.54,0.0006770480704130222,1270.0,49.060001,0.00917238057129266,2250.6,-2.13,-6.96
61,2009-04-01,29.56,0.0246955345060893,1360.0,49.509998,0.05352458305492136,2441.8,-2.1,-6.51
62,2009-04-02,30.29,-0.0075932651039947174,2410.0,52.16,-0.014570513803680907,3335.1,-1.36,-3.85
63,2009-04-03,30.06,0.016966067864271572,1800.0,51.400002,-0.03307394812941833,2762.0,-1.58,-4.61
64,2009-04-06,30.57,0.03598298985933934,1460.0,49.700001,-0.025352152407401407,2850.5,-1.07,-6.31
65,2009-04-07,31.67,0.00820966214082719,2250.0,48.439999,0.007225474963366452,2767.4,0.04,-7.57
66,2009-04-08,31.93,-0.016911994989038504,1240.0,48.790001,0.010657921486822763,2920.3,0.31,-7.21
67,2009-04-09,31.39,-0.0009557183816502057,1180.0,49.310001,0.004055911497548026,2633.3,-0.22,-6.69
68,2009-04-14,31.36,-0.00031887755102033566,1140.0,48.200001,-0.0033195020058195412,2757.3,-0.24,-7.8
69,2009-04-15,31.35,0.019138755980861122,1280.0,48.040001,-0.008534554360229873,3016.5,-0.24,-7.96
70,2009-04-16,31.95,0.025665101721439765,920.61,47.630001,-0.008188095566069808,3230.3,0.36,-8.36
71,2009-04-17,32.77,-0.0207506866036008,2410.0,47.240002,-0.04233700074779845,3674.7,1.19,-8.75
72,2009-04-20,32.09,0.04175755687129934,1680.0,45.240002,0.028514521285830208,3161.5,0.52,-10.75
73,2009-04-21,33.43,-0.008973975471133655,2270.0,46.529999,-0.010745755657548983,3407.0,1.87,-9.46
74,2009-04-22,33.13,-0.010866284334440035,1450.0,46.029999,0.054529699207684024,2825.4,1.58,-9.95
75,2009-04-23,32.77,0.06866036008544407,824.94,48.540001,0.04758955402576115,2907.0,1.23,-7.44
76,2009-04-24,35.02,0.053969160479725664,2260.0,50.849998,-0.023402124814242864,3698.2,3.48,-5.13
77,2009-04-27,36.91,-0.02573828230831743,2970.0,49.66,0.00966570680628287,2900.6,5.38,-6.32
78,2009-04-28,35.96,0.009454949944382562,2140.0,50.139999,0.01615480686387727,1926.4,4.44,-5.83
79,2009-04-29,36.3,-0.027272727272727115,1720.0,50.950001,-0.02414131454089663,2604.3,4.79,-5.02
